,collocate,raw_frequency,MI
550,followed,2622,1.4900529602063937
551,meaning,1186,0.6739661325382676
552,welsh,168,1.9351965521327341
553,expatiated,15,4.351110330433783
554,statue,297,1.3654283927332933
555,unite,64,2.9002774481763214
556,grandfather,969,3.127334898811667
557,consent,665,3.0442801406681395
558,bones,438,1.6700888017194921
559,very,31790,0.5634544885390357
560,one,44946,0.6766768236463863
561,dykes,17,4.225947187479777
562,established,416,1.0284752712747296
563,firstly,30,3.657963149873838
564,secresy,20,4.063428257982002
565,faith,1287,1.5085292363739669
566,opinion,1819,0.24626553357781616
567,address,927,1.6135013270900285
568,mr,29736,0.6091944212689635
569,monterez,3,5.960548242867883
570,remained,1898,0.8968989134860105
571,squire,2088,1.2069580517615188
572,claims,214,1.6931845165141415
573,himself,16480,0.9327766665286403
574,well,21711,1.2007205930468472
575,behind,4746,0.7913276718765035
576,those,10735,-0.2761940297215751
577,imprisoned,71,3.489627835054623
578,stood,7245,1.30658789271036
579,free,2143,0.4878108247305258
580,totally,132,2.1763586089496223
581,bath,428,1.6931845165141415
582,present,4239,0.7865194018631919
583,signifying,29,3.691864701549519
584,pendulum,18,4.168788773639829
585,harmony,192,2.4948123400681568
586,article,315,1.30658789271036
587,smiled,2216,1.1474609528968738
588,protested,237,2.9773947515207526
589,afternoon,2144,0.08187918990524573
590,bowed,837,2.275246610101831
591,low,3476,0.8514331942060237
592,oh,9432,1.9326487800539356
593,informed,627,2.004508352022963
594,campaign,197,1.7759568027980046
595,mere,1867,0.6256846766623801
596,attention,1556,-0.2907131732023438
597,last,12401,0.8525039629014215
598,before,19901,1.5914520696729937
599,introduced,450,1.643060129331573
600,greeted,312,2.4147696323946204
601,entertaining,109,2.3678126493068494
602,pressed,1004,1.5337075924042092
603,mused,177,1.8830107989621638
604,jorian,85,3.309656455605622
605,we,39440,0.4084503555437473
606,regretted,177,1.8830107989621638
607,speech,1699,1.700806951543897
608,heard,8593,1.638043493949156
609,pacified,32,3.5934246287362663
610,accepted,797,1.4769181414138877
611,visiting,223,2.3451359406358194
612,pleaded,277,2.5337553140167643
613,played,1001,0.8435529327807179
614,active,530,0.7862835249898256
615,persecution,59,3.674770268190219
616,mind,10632,0.6779086890390764
617,borrowed,149,2.7483614061504795
618,penrhys,23,3.9236663156068436
619,listened,1238,1.547345990725552
620,maintain,224,2.3406616602408983
621,credit,515,0.8149936308722568
622,freshly,59,2.9816230876302736
623,income,523,0.7995790674710702
624,alarm,534,1.8773769812439078
625,preparing,260,1.4984789005204655
626,requested,213,1.6978683658265679
627,pay,1876,1.1317013144039236
628,hovered,89,2.5705241618038532
629,between,7171,1.8702395917673544
630,block,157,2.0029147261876847
631,fixing,155,2.0157354146167465
632,defeated,110,2.3586801657435768
633,scheme,484,0.8770756248193614
634,sake,1790,2.4024029767574087
635,flowed,194,1.7913023724726649
636,keep,5007,-0.07313731967406098
637,check,335,2.343642288379036
638,husband,4154,1.8183759804582513
639,festivities,40,3.3702810774220566
640,kindness,1136,0.7170391128148417
641,admonishing,10,4.756575438541947
642,consulted,182,2.9537661331273073
643,hummed,86,2.6048132352824855
644,better,8729,0.54970379426218
645,solicitors,54,3.0701764849717184
646,desired,760,1.8121364593755067
647,shoulder,1621,1.8655865871365365
648,pack,259,2.1954796503964005
649,deck,421,1.0165276978536117
650,smiling,1614,1.2821275951401994
651,laughed,2722,1.7149877057861185
652,sets,188,1.8227185687060439
653,shoulders,1317,1.2623431909126026
654,won,4078,1.5183873026413737
655,markgrafin,8,4.979718989856157
656,explained,849,1.7013957063445364
657,united,299,1.3587169581453067
658,evasion,33,3.5626529700695126
659,ill,2811,1.4204500536235067
660,stooped,321,1.2877194084059773
661,rearward,9,4.861935954199773
662,considerately,24,3.8811067011880476
663,cheque,120,2.271668788753947
664,returned,3230,1.5438724727808275
665,arrangements,354,1.1898636184022187
666,fact,3324,0.04884866422876396
667,sons,566,2.3300043657669103
668,preaching,133,2.168811403314239
669,expediency,41,3.3455884648316854
670,art,1972,1.5517985380532482
671,hours,2471,0.8562202379814834
672,tasking,5,5.449722619101893
673,cardinals,10,4.756575438541947
674,stepped,763,1.8081968613714268
675,consoled,95,2.505283639935452
676,absolute,377,1.1269153440879822
677,invariably,142,2.1033334739347325
678,treated,692,1.905868937038214
679,titles,122,2.2551394868027366
680,declined,256,2.61259537572454
681,himalayas,7,5.11325038248068
682,word,6675,1.025624770507324
683,firm,954,0.19849686008770656
684,affected,629,0.6150292748355526
685,murmured,1236,1.731284362746412
686,some,24566,0.24587874544128244
687,complaisant,15,4.351110330433783
688,waving,339,1.233160424155543
689,caught,2017,1.3957041426370944
690,sight,3157,-0.30506977646205324
691,stared,820,1.448468479945804
692,meet,2518,1.5305254099257464
693,day,15937,0.6016376275445601
694,hanover,34,3.5328000069198318
695,discussing,179,1.8717747256952382
696,palace,900,1.643060129331573
697,diplomacy,57,3.016109263701443
698,seek,802,1.4706642123375884
699,intensely,195,1.7861609729722463
700,aennchen,14,4.4201032019207345
701,gave,5885,1.962517450297726
702,arms,3448,0.8595210488077225
703,extravagant,181,1.8606635002701672
704,impends,1,7.059160531535993
705,brought,5153,0.9967328329957692
706,comfort,1452,1.5702228053793068
707,absent,524,2.1839632083348417
708,approach,496,0.8525846048110655
709,features,839,0.32694982506878684
710,embraced,194,1.7913023724726649
711,pusillanimously,3,5.960548242867883
712,rushed,724,1.5729814278183862
713,believed,1282,2.387890543843378
714,succeeded,623,2.2340519251826403
715,whenever,802,1.981489836103579
716,showed,2000,0.8445524331138013
717,distinction,311,1.319367619356759
718,pitfall,9,4.861935954199773
719,appealed,216,1.683882123851828
720,any,21077,0.5044202356611013
721,princess,653,1.6761956909276718
722,head,11085,0.7415446830395721
723,pledged,157,2.0029147261876847
724,escort,136,2.8396528263598864
725,puts,293,2.477600211187035
726,proposing,72,3.475641593079883
727,change,2727,0.7576410611245049
728,drove,795,1.4794307055497709
729,affairs,1140,1.1189892788155615
730,performs,24,3.8811067011880476
731,birth,709,2.104742917437966
732,interposed,276,2.8250540269387336
733,worshipping,39,3.3955988854063466
734,dark,5113,-0.3817687748758964
735,disport,18,4.168788773639829
736,announcing,104,2.4147696323946204
737,hands,7377,0.5509334734500614
738,practically,229,2.3185857085416988
739,exuberant,20,4.063428257982002
740,reflections,176,1.8886765364978413
741,diverted,81,3.3578585574234996
742,function,65,2.884773261640356
743,prepared,1059,1.1926924746026963
744,peterborough,83,2.640319923739395
745,cried,5603,2.505640527876428
746,divorces,1,7.059160531535993
747,handed,684,1.6298149025815523
748,far,6863,0.7902099460888953
749,fetched,220,1.6655329851836316
750,unexpected,437,1.6723745170003481
751,pile,271,1.4570417106562923
752,relatives,211,1.7073023980599267
753,generous,770,1.7990643778081543
754,awake,562,1.8262709703104119
755,harry,3018,1.6117602496697356
756,overhearing,22,3.9681180781776773
757,dearest,810,3.070176484971719
758,fetch,610,2.437461043596691
759,sounding,148,2.0619482577718777
760,among,4402,0.27878418188368653
761,rope,378,1.1242663359164053
762,looking,8219,0.5298633551754933
763,incendiary,9,4.861935954199773
764,heels,370,1.145657525897723
765,furiously,151,2.0418806947210686
766,shielded,22,3.9681180781776773
767,aplomb,8,4.979718989856157
768,been,40162,1.229168602079253
769,lifetime,121,4.055129455167307
770,several,1499,0.43975421399334064
771,midnight,414,1.0332945577106787
772,mention,781,2.34449553075162
773,flatteringly,11,4.661265258737623
774,connection,416,1.0284752712747296
775,regarding,423,1.7049355330496605
776,unuttered,17,4.225947187479777
